name,kind,loc,place,used,copies,tags,modified,size_kb,path
VC3.5,Audio Effect,User Library,User Library,2,1,,2024-08-15,1019,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/VC3.5.amxd
Vector Delay,Audio Effect,Pack,Inspired by Nature by Dillon Bastan,32,1,Devices|Delay,2025-05-25,1381,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Inspired by Nature by Dillon Bastan/Audio Effects/Vector Delay/Ableton Folder Info/Vector Delay.amxd
Vector FM,Instrument,Pack,Inspired by Nature by Dillon Bastan,44,1,Devices|Synthesizer|FM,2025-05-25,1697,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Inspired by Nature by Dillon Bastan/Instruments/Vector FM/Ableton Folder Info/Vector FM.amxd
Vector Grain,Instrument,Pack,Inspired by Nature by Dillon Bastan,31,1,Devices|Synthesizer|Granular,2025-05-25,1762,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Inspired by Nature by Dillon Bastan/Instruments/Vector Grain/Ableton Folder Info/Vector Grain.amxd
Vector Map,Audio Effect,Pack,Inspired by Nature by Dillon Bastan,2,1,Devices|Modulator,2025-05-25,1179,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Inspired by Nature by Dillon Bastan/Audio Effects/Vector Map/Ableton Folder Info/Vector Map.amxd
Velocity Randomizer,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,25,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 3 - Lessons/1 MIDI Effects/Devices/Velocity Randomizer.amxd
Velocity Shaper,Max Note Transformation,Live factory,Built-in,0,1,,2026-03-06,39,//Applications/Ableton Live 12 Suite.app/Contents/App-Resources/Builtin/Devices/MIDI Tools/Transformations/Velocity Shaper/Velocity Shaper.amxd
Verbotron,Audio Effect,Pack,Stray Cats Collection by Max for Cats,10,1,,2025-05-25,196,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Stray Cats Collection by Max for Cats/Audio Effects/Verbotron.amxd
Video Slicer,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,147,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 4 - Examples/Visuals/Video Slicer/Devices/Video Slicer.amxd
VIDEODRUMS,Instrument,Elsewhere on disk,Remote Music,1,1,,2025-12-24,1837,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/VIDEODRUMS.amxd
visage_1.0,Instrument,User Library,User Library,3,2,,2026-01-30,1343,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Instruments/Max Instrument/Imported/visage_1.0.amxd
Visuals Builder,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,117,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 4 - Examples/Visuals/Visuals Builder/Devices/Visuals Builder.amxd
Visuals Exporter,MIDI Effect,Pack,Building Max Devices,1,1,,2025-11-20,63,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 4 - Examples/Visuals/Visuals Builder/Devices/Visuals Exporter.amxd
Void,Audio Effect,Project copy,Remote Music,7,1,,2026-06-22,349,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/3rd Party/Opal Project/Void.amxd
Warp Markers,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,86,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 4 - Examples/Controlling Live/Warp Markers/Devices/Warp Markers.amxd
WavetableDrone,Instrument,Elsewhere on disk,Remote Music,1,1,,2025-12-24,58,//Volumes/Crucial X9/Remote Music/Ableton/Downloaded & Third-Party/Remo de Vico M4L devic es and samples/WavetableDrone.amxd
Widen,Audio Effect,User Library,User Library,2,1,,2024-08-15,42,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/Widen.amxd
XY,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,128,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 4 - Examples/Controlling Live/XY Controller/Devices/XY.amxd
XY Controller,Audio Effect,Pack,Building Max Devices,1,1,,2025-11-20,128,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Building Max Devices/Part 4 - Examples/Controlling Live/XY Controller/Devices/XY Controller.amxd
XY Pad,Audio Effect,Pack,Max for Live Essentials,1,1,,2025-10-22,728,//Volumes/Crucial X9/Remote Music/Ableton/Factory Packs Remote/Max for Live Essentials/Max Audio Effect/Control Devices/XY Pad.amxd
YT Sampler,Audio Effect,User Library,User Library,1,1,,2026-07-11,46,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/YT Sampler.amxd
YT Sampler-1,Audio Effect,User Library,User Library,2,1,,2026-07-13,90,//Volumes/Crucial X9/Remote Music/Ableton/User Library/Presets/Audio Effects/Max Audio Effect/Imported/YT Sampler-1.amxd
